75678,118802,34
118792,118793,30
118795,118802,32
118794,118801,25
118793,118799,20
118793,118795,6
118793,118794,6
118794,118797,13
118795,118796,10
118796,118798,4
118798,118800,6
118798,118803,22
118800,118808,24
118808,118821,23
118902,125278,7
118884,118901,6
118821,118840,21
118902,126168,4
118884,118902,6
126167,126168,3
126167,126169,16
126168,126170,16
118857,118881,8
118872,118884,4
118857,118872,5
118872,118892,7
126169,126170,4
118857,118883,9
126170,126171,6
118892,126173,7
118892,118900,3
126175,126177,5
126177,126178,8
126171,126173,4
118897,126173,8
126171,126172,3
126172,126175,5
126175,126176,4
118883,118897,5
118896,126172,5
126172,126174,4
126178,126179,4
118909,126178,6
118896,118909,4
118840,118847,2
118847,118850,2
118885,118896,4
118850,118854,3
118854,118860,3
118860,118865,2
118860,118868,3
118868,118885,6
118876,118880,2
118865,118869,2
118874,118878,2
118885,118898,5
118885,118889,2
118869,118876,3
118869,118874,3
118889,118890,2
118874,118877,2
118877,118890,4
